0.58497+0.71904i,0.22099-0.61201i
0.64648+0.72837i,-0.3436-0.54686i
0.71343+0.73731i,-0.64136-0.060757i
0.78605+0.74578i,-0.44318+0.4729i
0.86438+0.75369i,0.093476+0.65232i
0.94811+0.76099i,0.57139+0.36347i
1.0364+0.76759i,0.68071-0.16945i
1.1276+0.77345i,0.40336-0.60719i
1.2188+0.77851i,-0.049543-0.75385i
1.3058+0.78271i,-0.44611-0.63568i
1.383+0.78602i,-0.67987-0.40083i
1.4442+0.78841i,-0.77155-0.18538i
1.4834+0.78985i,-0.79111-0.054417i
1.4967+0.79033i,-0.7921-0.017223i
1.483+0.78985i,-0.79081-0.061947i
1.4448+0.78841i,-0.77382-0.17397i
1.3865+0.78602i,-0.71228-0.33496i
1.3138+0.78272i,-0.57539-0.51367i
1.2322+0.77853i,-0.34597-0.6593i
1.1462+0.77349i,-0.039596-0.70673i
1.0595+0.76765i,0.28076-0.60106i
0.97458+0.76107i,0.51347-0.33675i
0.89303+0.75381i,0.56238+0.014574i
0.81585+0.74594i,0.39872+0.32027i
0.74354+0.73752i,0.095432+0.4526i
0.67626+0.72863i,-0.20194+0.36516i
0.61397+0.71935i,-0.35559+0.12344i
0.55651+0.70976i,-0.31224-0.13516i
0.50363+0.69994i,-0.12452-0.28257i
0.45508+0.68997i,0.091579-0.26657i
0.41057+0.67992i,0.22736-0.12428i
0.36982+0.66989i,0.23392+0.054386i
0.33258+0.65993i,0.13208+0.18167i
0.2986+0.65014i,-0.014074+0.2116i
0.26765+0.64057i,-0.13622+0.14936i
0.23954+0.63129i,-0.19126+0.035502i
0.21407+0.62237i,-0.17117-0.079806i
0.19107+0.61387i,-0.095895-0.15803i
0.1704+0.60585i,0.0019439-0.18219i
0.15191+0.59835i,0.091553-0.15568i
0.1371+0.59314i,0.181-0.070009i
0.12262+0.58681i,0.18883+0.014906i
0.11001+0.58113i,0.16292+0.087197i
0.099185+0.57614i,0.11618+0.13751i
0.09007+0.57186i,0.061185+0.16396i
0.082607+0.56831i,0.0075291+0.16964i
0.076747+0.56553i,-0.03911+0.15998i
0.072453+0.56351i,-0.076589+0.14076i
0.069698+0.56228i,-0.10541+0.11696i
0.068465+0.56185i,-0.12777+0.092467i
0.068751+0.5622i,-0.14672+0.070334i
0.070558+0.56335i,-0.16551+0.053398i
0.073904+0.56529i,-0.18682+0.045086i
0.078815+0.568i,-0.21167+0.050059i
0.085328+0.57148i,-0.23785+0.074239i
0.093491+0.5757i,-0.25794+0.12352i
0.10336+0.58064i,-0.25792+0.20041i
0.11502+0.58628i,-0.21797+0.29848i
0.12854+0.59258i,-0.11819+0.39609i
0.14403+0.5995i,0.049416+0.4536i
0.16159+0.607i,0.26459+0.42048i
0.18136+0.61504i,0.46703+0.25753i
0.20347+0.62357i,0.56367-0.02886i
0.22809+0.63252i,0.46719-0.3583i
0.25539+0.64185i,0.15976-0.58395i
0.2856+0.65147i,-0.25446-0.55846i
0.31894+0.66133i,-0.56395-0.24153i
0.35566+0.67136i,-0.56267+0.22296i
0.39608+0.68147i,-0.2127+0.55039i
0.44053+0.69159i,0.27246+0.50052i
0.48937+0.70164i,0.54023+0.08893i
0.54304+0.71154i,0.37214-0.37255i
0.602+0.72121i,-0.10122-0.50129i
0.66672+0.73056i,-0.47334-0.1796i
0.7377+0.73951i,-0.40803+0.31338i
0.81539+0.74799i,0.048433+0.53527i
0.90004+0.75592i,0.5023+0.27851i
0.9916+0.76323i,0.5689-0.25292i
1.0894+0.76985i,0.19637-0.6495i
1.1915+0.77571i,-0.34269-0.6532i
1.2947+0.78077i,-0.72788-0.31753i
1.3934+0.78498i,-0.83193+0.1204i
1.4801+0.78829i,-0.73795+0.45831i
1.546+0.79068i,-0.60484+0.62811i
1.5836+0.79211i,-0.54658+0.65257i
1.5886+0.79259i,-0.59373+0.56355i
1.5619+0.7921i,-0.70442+0.36664i
1.5085+0.79065i,-0.78781+0.06477i
1.4354+0.78825i,-0.743-0.29667i
1.35+0.78493i,-0.51645-0.61502i
1.2582+0.78072i,-0.14551-0.77188i
1.1648+0.77567i,0.25232-0.70181i
1.0727+0.76981i,0.54077-0.43093i
0.98408+0.76321i,0.62903-0.060754i
0.90004+0.75592i,0.5023+0.27851i
0.8212+0.74803i,0.21987+0.47363i
0.74779+0.73958i,-0.105+0.46459i
0.67977+0.73067i,-0.34264+0.26995i
0.61698+0.72137i,-0.40077-0.013539i
0.55918+0.71175i,-0.27092-0.25187i
0.50606+0.7019i,-0.033694-0.34074i
0.45733+0.6919i,0.18656-0.25765i
0.41268+0.68183i,0.28942-0.065444i
0.37183+0.67177i,0.24527+0.13103i
0.3345+0.6618i,0.097244+0.2432i
0.30044+0.65198i,-0.073806+0.23682i
0.26944+0.64238i,-0.19401+0.13476i
0.24128+0.63309i,-0.22609-0.0068908i
0.21576+0.62415i,-0.17448-0.13022i
0.19274+0.61564i,-0.071843-0.19789i
0.17204+0.6076i,0.040969-0.20022i
0.15353+0.60008i,0.13103-0.14973i
0.13465+0.59298i,0.18512+0.0077381i
0.12034+0.58665i,0.15676+0.086202i
0.10788+0.58098i,0.1027+0.13922i
0.097184+0.57599i,0.038351+0.16335i
0.08819+0.57171i,-0.024124+0.16192i
